danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.358,0.209,2,-17.019,1,0.0379,0.954,0.548,0.103,0.293,133.524,528035,4,classical
0.503,0.35,4,-14.334,1,0.0421,0.318,0.113,0.119,0.119,93.835,312661,4,rock
0.659,0.805,5,-9.412,1,0.0289,0.0325,7.17E-06,0.0734,0.73,144.048,277960,4,rock
0.641,0.62,3,-13.47,1,0.0456,0.816,1.63E-05,0.184,0.964,154.629,422454,3,bollywood
0.745,0.842,1,-3.356,1,0.426,0.149,0,0.745,0.301,95.896,192883,4,hip-hop
0.505,0.363,11,-11.008,0,0.0249,0.774,0.00048,0.116,0.297,77.983,272387,4,bollywood
0.368,0.981,1,-5.482,0,0.0772,0.0272,0.0252,0.288,0.354,189.951,147400,4,rock
0.169,0.0936,11,-14.897,1,0.0349,0.902,0.268,0.3,0.0391,81.411,616068,4,classical
0.783,0.857,11,-4.473,0,0.312,0.106,0,0.349,0.889,152.055,186044,5,dance
0.496,0.967,7,-6.042,1,0.0624,0.0024,5.09E-05,0.107,0.554,135.956,155067,3,rock
0.0794,0.113,5,-20.524,1,0.0487,0.93,0.894,0.306,0.0381,178.239,455893,3,classical
0.448,0.111,2,-19.362,0,0.08,0.988,0,0.306,0.26,115.259,79813,3,classical
0.317,0.049,10,-25.252,0,0.0385,0.976,0.927,0.103,0.0364,110.011,468200,4,dance
0.618,0.517,1,-7.985,1,0.474,0.0892,0,0.0632,0.616,164.394,231001,4,hip-hop
0.65,0.737,8,-4.251,0,0.0414,0.0586,0.00702,0.124,0.839,101.024,192475,4,hip-hop
0.515,0.967,6,-4.192,1,0.118,9.38E-05,0.159,0.391,0.37,142.022,184354,4,rock
0.729,0.616,1,-5.826,1,0.326,0.139,0,0.16,0.962,91.539,211320,4,dance
0.515,0.754,11,-4.116,1,0.0373,0.231,0,0.198,0.451,147.116,201053,4,dance
0.405,0.208,0,-13.611,1,0.0313,0.963,0.768,0.109,0.143,136.189,267333,4,classical
0.578,0.238,0,-12.828,1,0.101,0.872,0,0.177,0.55,130.208,94107,4,rock
0.648,0.457,0,-7.678,0,0.0405,0.349,0,0.14,0.182,120.113,184000,4,dance
0.661,0.462,10,-10.967,1,0.126,0.269,0,0.0983,0.865,87.061,204828,4,dance
0.563,0.848,10,-4.651,0,0.0846,0.687,0.00337,0.38,0.804,121.032,668718,4,bollywood
0.384,0.0652,3,-18.921,1,0.0672,0.995,0.274,0.0811,0.188,74.08,556000,3,classical
0.73,0.954,6,-3.221,1,0.0583,0.095,2.20E-06,0.17,0.906,116.985,216480,4,dance
0.9,0.284,6,-17.589,1,0.407,0.00407,0.000775,0.202,0.545,97.957,273813,4,hip-hop
0.754,0.608,7,-6.796,1,0.242,0.074,0,0.116,0.595,84.466,149280,4,hip-hop
0.66,0.57,1,-7.235,1,0.323,0.29,0,0.133,0.515,122.757,189868,4,hip-hop
0.429,0.725,5,-7.435,1,0.0319,0.00787,0.00288,0.238,0.188,89.968,236762,4,rock
0.805,0.678,2,-10.325,1,0.0498,0.319,0.00146,0.12,0.729,115.939,260707,4,rock
0.491,0.902,1,-4.954,1,0.2,0.227,1.40E-05,0.131,0.59,185.952,286093,4,rock
0.69,0.601,5,-3.967,1,0.0412,0.00184,0,0.063,0.76,82.484,299013,4,dance
0.6,0.362,2,-8.223,1,0.0308,0.367,0.128,0.102,0.11,112.993,246755,4,rock
0.644,0.759,5,-5.524,1,0.0302,0.00444,0.0696,0.112,0.67,125.028,193360,4,dance
0.516,0.35,7,-10.971,1,0.0301,0.178,2.68E-06,0.095,0.21,121.924,243587,4,rock
0.506,0.792,2,-5.698,1,0.0357,0.00617,0,0.269,0.494,135.019,209160,4,rock
0.841,0.747,10,-6.828,1,0.0391,0.141,0,0.196,0.96,120.037,153333,4,bollywood
0.592,0.87,2,-6.327,1,0.0401,0.0131,0.0677,0.0909,0.457,127.986,150013,4,dance
0.594,0.498,10,-12.683,0,0.3,0.0428,0,0.0671,0.541,92.25,179644,4,bollywood
0.634,0.753,10,-3.634,1,0.0945,0.495,0.00062,0.137,0.951,76.373,209173,4,rock
0.582,0.738,9,-7.987,0,0.325,0.0945,0,0.264,0.643,133.52,42640,1,dance
0.796,0.994,10,-8.874,0,0.0634,0.0313,0.775,0.102,0.36,114.994,124000,4,dance
0.85,0.706,8,-6.934,1,0.167,0.00072,0,0.202,0.795,109.946,240107,4,hip-hop
0.53,0.622,6,-7.509,0,0.0786,0.0869,0,0.29,0.405,158.03,221772,4,hip-hop
0.334,0.868,7,-4.802,0,0.129,0.166,0.0241,0.107,0.549,114.893,132347,4,rock
0.901,0.705,8,-6.337,1,0.0541,0.144,2.31E-05,0.113,0.7,106.04,176065,4,dance
0.713,0.834,11,-5.438,0,0.0367,0.00919,0.0981,0.139,0.826,124.994,307400,4,dance
0.362,0.732,1,-11.7,1,0.488,0.0126,0.0245,0.67,0.586,150.575,192468,4,hip-hop
0.187,0.0755,2,-17.655,0,0.0461,0.99,0.00252,0.171,0.261,85.38,256907,4,classical
0.718,0.97,5,-8.073,1,0.0338,0.0212,0,0.198,0.927,135.912,323180,4,bollywood
0.773,0.959,11,-5.377,0,0.0588,0.000501,0.896,0.0865,0.246,128,378880,4,dance
0.393,0.863,9,-5.837,1,0.0924,0.00636,4.50E-06,0.102,0.459,147.867,243670,4,bollywood
0.324,0.424,7,-14.432,1,0.0345,0.749,0.949,0.0794,0.214,69.274,584933,4,classical
0.353,0.0874,0,-23.762,0,0.0625,0.957,0.808,0.105,0.387,163.403,406960,4,classical
